date,festival,kind,venue,tier,evidence,source_url
2023-05-06,Brahmotsavams,announced_dates,unspecified,major,NAGALAPURAM BRAHMOTSAVAMS FROM MAY 4-12 _ మే 4 నుండి 12వ తేదీ వరకు నాగలాపురం శ్రీ వేదనారాయణస్వామివారి వార్షిక బ్రహ్మోత్సవాలు,https://news.tirumala.org/%e0%b0%ae%e0%b1%87-4-%e0%b0%a8%e0%b1%81%e0%b0%82%e0%b0%a1%e0%b0%bf-12%e0%b0%b5-%e0%b0%a4%e0%b1%87%e0%b0%a6%e0%b1%80-%e0%b0%b5%e0%b0%b0%e0%b0%95%e0%b1%81-%e0%b0%a8%e0%b0%be%e0%b0%97%e0%b0%b2%e0%b0%be/
2023-05-06,Vasanthotsavam,same_day_report,unspecified,minor,VASANTHOTSAVAMS CONCLUDES _ వైభవంగా ముగిసిన శ్రీ పద్మావతి అమ్మవారి వసంతోత్సవాలు,https://news.tirumala.org/vasanthotsavams-concludes-_-%e0%b0%b5%e0%b1%88%e0%b0%ad%e0%b0%b5%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%ae%e0%b1%81%e0%b0%97%e0%b0%bf%e0%b0%b8%e0%b0%bf%e0%b0%a8-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80/
2023-05-07,Brahmotsavams,announced_dates,unspecified,major,NAGALAPURAM BRAHMOTSAVAMS FROM MAY 4-12 _ మే 4 నుండి 12వ తేదీ వరకు నాగలాపురం శ్రీ వేదనారాయణస్వామివారి వార్షిక బ్రహ్మోత్సవాలు,https://news.tirumala.org/%e0%b0%ae%e0%b1%87-4-%e0%b0%a8%e0%b1%81%e0%b0%82%e0%b0%a1%e0%b0%bf-12%e0%b0%b5-%e0%b0%a4%e0%b1%87%e0%b0%a6%e0%b1%80-%e0%b0%b5%e0%b0%b0%e0%b0%95%e0%b1%81-%e0%b0%a8%e0%b0%be%e0%b0%97%e0%b0%b2%e0%b0%be/
2023-05-08,Brahmotsavams,announced_dates,unspecified,major,NAGALAPURAM BRAHMOTSAVAMS FROM MAY 4-12 _ మే 4 నుండి 12వ తేదీ వరకు నాగలాపురం శ్రీ వేదనారాయణస్వామివారి వార్షిక బ్రహ్మోత్సవాలు,https://news.tirumala.org/%e0%b0%ae%e0%b1%87-4-%e0%b0%a8%e0%b1%81%e0%b0%82%e0%b0%a1%e0%b0%bf-12%e0%b0%b5-%e0%b0%a4%e0%b1%87%e0%b0%a6%e0%b1%80-%e0%b0%b5%e0%b0%b0%e0%b0%95%e0%b1%81-%e0%b0%a8%e0%b0%be%e0%b0%97%e0%b0%b2%e0%b0%be/
2023-05-09,Brahmotsavams,announced_dates,unspecified,major,NAGALAPURAM BRAHMOTSAVAMS FROM MAY 4-12 _ మే 4 నుండి 12వ తేదీ వరకు నాగలాపురం శ్రీ వేదనారాయణస్వామివారి వార్షిక బ్రహ్మోత్సవాలు,https://news.tirumala.org/%e0%b0%ae%e0%b1%87-4-%e0%b0%a8%e0%b1%81%e0%b0%82%e0%b0%a1%e0%b0%bf-12%e0%b0%b5-%e0%b0%a4%e0%b1%87%e0%b0%a6%e0%b1%80-%e0%b0%b5%e0%b0%b0%e0%b0%95%e0%b1%81-%e0%b0%a8%e0%b0%be%e0%b0%97%e0%b0%b2%e0%b0%be/
2023-05-10,Brahmotsavams,announced_dates,unspecified,major,NAGALAPURAM BRAHMOTSAVAMS FROM MAY 4-12 _ మే 4 నుండి 12వ తేదీ వరకు నాగలాపురం శ్రీ వేదనారాయణస్వామివారి వార్షిక బ్రహ్మోత్సవాలు,https://news.tirumala.org/%e0%b0%ae%e0%b1%87-4-%e0%b0%a8%e0%b1%81%e0%b0%82%e0%b0%a1%e0%b0%bf-12%e0%b0%b5-%e0%b0%a4%e0%b1%87%e0%b0%a6%e0%b1%80-%e0%b0%b5%e0%b0%b0%e0%b0%95%e0%b1%81-%e0%b0%a8%e0%b0%be%e0%b0%97%e0%b0%b2%e0%b0%be/
2023-05-10,Vasanthotsavam,same_day_report,other_temple,minor,ANNUAL VASANTHOTSAVAMS COMMENCES IN SRINIVASA MANGAPURAM _ వైభవంగా శ్రీ కల్యాణ వేంకటేశ్వరస్వామివారి వసంతోత్సవాలు ప్రారంభం,https://news.tirumala.org/%e0%b0%b5%e0%b1%88%e0%b0%ad%e0%b0%b5%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80-%e0%b0%95%e0%b0%b2%e0%b1%8d%e0%b0%af%e0%b0%be%e0%b0%a3-%e0%b0%b5%e0%b1%87%e0%b0%82%e0%b0%95-4/
2023-05-11,Brahmotsavams,announced_dates,unspecified,major,NAGALAPURAM BRAHMOTSAVAMS FROM MAY 4-12 _ మే 4 నుండి 12వ తేదీ వరకు నాగలాపురం శ్రీ వేదనారాయణస్వామివారి వార్షిక బ్రహ్మోత్సవాలు,https://news.tirumala.org/%e0%b0%ae%e0%b1%87-4-%e0%b0%a8%e0%b1%81%e0%b0%82%e0%b0%a1%e0%b0%bf-12%e0%b0%b5-%e0%b0%a4%e0%b1%87%e0%b0%a6%e0%b1%80-%e0%b0%b5%e0%b0%b0%e0%b0%95%e0%b1%81-%e0%b0%a8%e0%b0%be%e0%b0%97%e0%b0%b2%e0%b0%be/
2023-05-12,Brahmotsavams,announced_dates,unspecified,major,NAGALAPURAM BRAHMOTSAVAMS FROM MAY 4-12 _ మే 4 నుండి 12వ తేదీ వరకు నాగలాపురం శ్రీ వేదనారాయణస్వామివారి వార్షిక బ్రహ్మోత్సవాలు,https://news.tirumala.org/%e0%b0%ae%e0%b1%87-4-%e0%b0%a8%e0%b1%81%e0%b0%82%e0%b0%a1%e0%b0%bf-12%e0%b0%b5-%e0%b0%a4%e0%b1%87%e0%b0%a6%e0%b1%80-%e0%b0%b5%e0%b0%b0%e0%b0%95%e0%b1%81-%e0%b0%a8%e0%b0%be%e0%b0%97%e0%b0%b2%e0%b0%be/
2023-05-14,Hanuman Jayanti,announced_dates,unspecified,major,ALL SET FOR HANUMAN JAYANTI ON MAY 14 _ మే 14న తిరుమలలో హనుమజ్జయంతి వేడుకలకు ఏర్పాట్లు పూర్తి,https://news.tirumala.org/%e0%b0%ae%e0%b1%87-14%e0%b0%a8-%e0%b0%a4%e0%b0%bf%e0%b0%b0%e0%b1%81%e0%b0%ae%e0%b0%b2%e0%b0%b2%e0%b1%8b-%e0%b0%b9%e0%b0%a8%e0%b1%81%e0%b0%ae%e0%b0%9c%e0%b1%8d%e0%b0%9c%e0%b0%af%e0%b0%82%e0%b0%a4/
